         FINAL PRE-CLEARING PRICES AS OF 11/12/14 06:00 PM (CST)
MTH/                 ---- DAILY ---                        PT                     -------  PRIOR  DAY  -------
STRIKE     OPEN      HIGH      LOW       LAST      SETT    CHGE     EST.VOL       SETT         VOL         INT
ACD AUSTRALIAN DOLLAR/CANADIAN DOLLAR CROSSRATE FUT
SEP15    1.2500    1.2524B   1.2470A     ----    1.2469  -.0032           5     1.2501           1          45
DEC15    1.2544    1.2544    1.2485      ----    1.2489  -.0032           5     1.2521           2          41
MAR16      ----      ----      ----      ----    1.2532  -.0032                 1.2564                       6
JUN16      ----      ----      ----      ----    1.2569  -.0032                 1.2601                       2
SEP16      ----      ----      ----      ----    1.2610  -.0032                 1.2642
DEC16      ----      ----      ----      ----    1.2661  -.0031                 1.2692                       1
MAR17      ----      ----      ----      ----    1.2728  -.0031                 1.2759
JUN17      ----      ----      ----      ----    1.2806  -.0031                 1.2837
SEP17      ----      ----      ----      ----    1.2878  -.0031                 1.2909
DEC17      ----      ----      ----      ----    1.2951  -.0030                 1.2981
MAR18      ----      ----      ----      ----    1.3023  -.0030                 1.3053
JUN18      ----      ----      ----      ----    1.3096  -.0030                 1.3126
SEP18      ----      ----      ----      ----    1.3168  -.0030                 1.3198
DEC18      ----      ----      ----      ----    1.3241  -.0029                 1.3270
MAR19      ----      ----      ----      ----    1.3313  -.0029                 1.3342
JUN19      ----      ----      ----      ----    1.3386  -.0029                 1.3415
SEP19      ----      ----      ----      ----    1.3458  -.0029                 1.3487
TOTAL                                                               EST.VOL                 VOLUME    OPEN INT
TOTAL                                                                235822                 167640      463976
ECD CME EURO FX/CANADIAN DOLLAR CROSSRATE FUTURES
DEC14    1.4163    1.4185B   1.4051A   1.4093B   1.4070  -.0078          58     1.4148           7        1322
MAR15      ----      ----    1.4140A   1.4140A   1.4111  -.0078                 1.4189
JUN15      ----      ----      ----      ----    1.4154  -.0079                 1.4233
SEP15      ----      ----      ----      ----    1.4202  -.0078                 1.4280
DEC15      ----      ----      ----      ----    1.4247  -.0079                 1.4326
MAR16      ----      ----      ----      ----    1.4308  -.0080                 1.4388
TOTAL                                                               EST.VOL                 VOLUME    OPEN INT
TOTAL                                                                    58                      7        1322
ECZ CME EURO CZECH KORUNA FUTURES
DEC14      ----      ----      ----      ----     36190     -38                  36228
MAR15      ----      ----      ----      ----     36206     -40                  36246
JUN15      ----      ----      ----      ----     36226     -40                  36266
SEP15      ----      ----      ----      ----     36242     -40                  36282
DEC15      ----      ----      ----      ----     36274     -42                  36316
MAR16      ----      ----      ----      ----     36278     -44                  36322
EHU CME EURO HUNGARIAN FORINT FUTURES
DEC14      ----      ----      ----      ----     32594    +146                  32448
MAR15      ----      ----      ----      ----     32496    +152                  32344
JUN15      ----      ----      ----      ----     32388    +158                  32230
SEP15      ----      ----      ----      ----     32266    +168                  32098
DEC15      ----      ----      ----      ----     32142    +166                  31976
MAR16      ----      ----      ----      ----     31994    +172                  31822
ENK CME EURO FX/NORWEGIAN KRONE CROSSRATE FUTURES
DEC14      ----      ----      ----      ----    8.4630  -.0295                 8.4925                       8
MAR15      ----      ----      ----      ----    8.4960  -.0295                 8.5255
JUN15      ----      ----      ----      ----    8.5250  -.0300                 8.5550
SEP15      ----      ----      ----      ----    8.5540  -.0305                 8.5845
DEC15      ----      ----      ----      ----    8.5800  -.0310                 8.6110
MAR16      ----      ----      ----      ----    8.6135  -.0320                 8.6455
TOTAL                                                               EST.VOL                 VOLUME    OPEN INT
TOTAL                                                                                                        8
EPL CME EURO POLISH ZLOTY FUTURES
DEC14      ----      ----      ----      ----    .23666 +.00044                 .23622                     249
MAR15      ----      ----      ----      ----    .23564 +.00044                 .23520
JUN15      ----      ----      ----      ----    .23478 +.00046                 .23432
SEP15      ----      ----      ----      ----    .23392 +.00046                 .23346
DEC15      ----      ----      ----      ----    .23314 +.00046                 .23268
MAR16      ----      ----      ----      ----    .23216 +.00048                 .23168
TOTAL                                                               EST.VOL                 VOLUME    OPEN INT
TOTAL                                                                                                      249
ESK CME EURO FX/SWEDISH KRONA CROSSRATE FUTURES
DEC14      ----    9.2500B   9.2200A   9.2360A   9.2310  +.0045                 9.2265                     584
MAR15      ----      ----      ----      ----    9.2355  +.0045                 9.2310
JUN15      ----      ----      ----      ----    9.2395  +.0045                 9.2350
SEP15      ----      ----      ----      ----    9.2465  +.0050                 9.2415
DEC15      ----      ----      ----      ----    9.2490  +.0045                 9.2445
MAR16      ----      ----      ----      ----    9.2610  +.0050                 9.2560
TOTAL                                                               EST.VOL                 VOLUME    OPEN INT
TOTAL                                                                                                      584
FXD FX $ INDEX FUTURES
DEC14      ----      ----      ----      ----    134.00    -.21                 134.21
MAR15      ----      ----      ----      ----    133.99    -.21                 134.20
JUN15      ----      ----      ----      ----    133.99    -.21                 134.20
SEP15      ----      ----      ----      ----    134.05    -.20                 134.25
DEC15      ----      ----      ----      ----    134.17    -.19                 134.36
MAR16      ----      ----      ----      ----    134.46    -.20                 134.66
HFO CME HUNGARIAN FORINT FUTURES
DEC14      ----      ----      ----      ----     40530     +78                  40452
MAR15      ----      ----      ----      ----     40434     +84                  40350
JUN15      ----      ----      ----      ----     40334     +96                  40238
SEP15      ----      ----      ----      ----     40232    +106                  40126
DEC15      ----      ----      ----      ----     40142    +106                  40036
MAR16      ----      ----      ----      ----     40096    +114                  39982
ILS ISRAELI SHEKEL FUTURES
DEC14      ----      ----      ----      ----    .26240     +42                 .26198                       4
MAR15      ----      ----      ----      ----    .26262     +37                 .26225
